fips,stname,Ctyname,cases_2018,ststatus,pop_2018,pct_uninsured,incidence_2018,active_months_10c,mean_annual_temp_c
34009,New Jersey,Cape May County,31,High Incidenc,92560,8,33.491789109766636,6,13.46
34011,New Jersey,Cumberland County,81,High Incidenc,150972,10.7,53.652332882918685,7,13.33
34013,New Jersey,Essex County,167,High Incidenc,799767,11.6,20.881081615020378,6,12.18
34015,New Jersey,Gloucester County,109,High Incidenc,291408,5.2,37.4046011090979,7,13.4
34017,New Jersey,Hudson County,26,High Incidenc,676061,12.9,3.845806813290516,6,13.01
34019,New Jersey,Hunterdon County,335,High Incidenc,124714,4.1,268.6145901823372,6,11.33
34021,New Jersey,Mercer County,165,High Incidenc,369811,9.2,44.61738563752836,6,12.44
34023,New Jersey,Middlesex County,154,High Incidenc,829685,7.7,18.561261201540344,6,12.54
34025,New Jersey,Monmouth County,506,High Incidenc,621354,6.7,81.43505956346947,6,12.66
34027,New Jersey,Morris County,472,High Incidenc,494228,5.2,95.50248063646738,6,10.77
34029,New Jersey,Ocean County,290,High Incidenc,601651,7.7,48.20070107088661,6,12.78
34031,New Jersey,Passaic County,149,High Incidenc,503310,13.5,29.604021378474496,6,10.88
34033,New Jersey,Salem County,58,High Incidenc,62607,7.1,92.6413979267494,7,13.36
34035,New Jersey,Somerset County,225,High Incidenc,331164,5.4,67.94216762691597,6,11.88
34037,New Jersey,Sussex County,246,High Incidenc,140799,5.7,174.71714997975835,6,9.9
34039,New Jersey,Union County,92,High Incidenc,558067,11.2,16.485475758287087,6,12.47
34041,New Jersey,Warren County,244,High Incidenc,105779,7,230.66960360752137,6,10.53
36001,New York,Albany County,116,High Incidenc,307117,4.2,37.77062161977357,5,8.89
36003,New York,Allegany County,5,High Incidenc,46430,5.7,10.768899418479432,5,8.01
36005,New York,Bronx County,34,High Incidenc,1432132,8.7,2.374082835939704,6,13.01
36007,New York,Broome County,56,High Incidenc,191659,5.2,29.218560046749698,5,8.16
36009,New York,Cattaraugus County,17,High Incidenc,76840,6.5,22.123893805309734,5,8
36011,New York,Cayuga County,7,High Incidenc,77145,4.8,9.073822023462313,5,8.37
36013,New York,Chautauqua County,9,High Incidenc,127939,5.5,7.03460242771946,6,8.68
36015,New York,Chemung County,21,High Incidenc,84254,4.1,24.924632658390102,5,8.69
