"fips","stname","Ctyname","cases_2018","ststatus","pop_2018","pct_uninsured","incidence_2018","active_months_10c","mean_annual_temp_c","canopy_pct","coverage_wt"
27049,"Minnesota","Goodhue County",19,"High Incidenc",46403,4.9,40.9456285153977,5,6.57,13.7657312967487,0.999999999999996
27051,"Minnesota","Grant County",0,"High Incidenc",6021,5.9,0,5,5.69,1.18467333983035,1
27053,"Minnesota","Hennepin County",187,"High Incidenc",1259428,5.6,14.8480103666109,5,6.75,13.2838219471863,0.999999999999999
27055,"Minnesota","Houston County",11,"High Incidenc",18578,4.9,59.2098180643772,5,7.63,29.580655081954,0.999999999999994
27057,"Minnesota","Hubbard County",41,"High Incidenc",21332,6.9,192.199512469529,5,3.97,39.0480314908181,1
27059,"Minnesota","Isanti County",14,"High Incidenc",39966,4.6,35.0297753090127,5,5.94,17.7846487995321,1.00000000000001
27061,"Minnesota","Itasca County",62,"High Incidenc",45108,5.5,137.447902811031,5,3.46,47.3724661660537,1
27063,"Minnesota","Jackson County",0,"High Incidenc",9911,4.5,0,5,6.3,0.711687404389804,1
27065,"Minnesota","Kanabec County",13,"High Incidenc",16207,5.6,80.2122539643364,5,5.25,30.7042098289823,1.00000000000184
27067,"Minnesota","Kandiyohi County",9,"High Incidenc",42855,7.8,21.0010500525026,5,5.93,3.44216396272622,1
27069,"Minnesota","Kittson County",0,"High Incidenc",4248,5.2,0,5,4.02,3.72124209335854,0.98994602519182
27071,"Minnesota","Koochiching County",4,"High Incidenc",12440,6.8,32.1543408360129,5,2.91,42.5741096410479,0.906276759940146
27073,"Minnesota","Lac qui Parle County",0,"High Incidenc",6658,5.5,0,5,6.48,0.699998589811795,1
27075,"Minnesota","Lake County",14,"High Incidenc",10658,4.8,131.356727340965,5,2.55,44.8710059263137,0.838396875289189
27077,"Minnesota","Lake of the Woods County",1,"High Incidenc",3758,5.8,26.6098988823842,5,3.1,16.584152647355,0.60973210456902
27079,"Minnesota","Le Sueur County",1,"High Incidenc",28494,5.7,3.50951077419808,5,6.78,6.11980309930428,0.999999999999998
27081,"Minnesota","Lincoln County",0,"High Incidenc",5673,6.3,0,5,5.77,0.597174093383545,1
27083,"Minnesota","Lyon County",0,"High Incidenc",25629,5.1,0,5,6.24,0.761518801830956,1
27085,"Minnesota","McLeod County",6,"High Incidenc",35873,4.9,16.7256711175536,5,6.38,2.19742428045145,0.999999999999998
27087,"Minnesota","Mahnomen County",3,"High Incidenc",5519,9,54.3576734915746,5,3.48,17.4367589505226,0.999999999999999
27089,"Minnesota","Marshall County",6,"High Incidenc",9390,6.5,63.8977635782748,5,3.71,4.31715937923499,1.00000000002466
27091,"Minnesota","Martin County",0,"High Incidenc",19785,4.9,0,5,6.56,0.977338956632173,1
27093,"Minnesota","Meeker County",5,"High Incidenc",23141,5.4,21.6066721403569,5,5.84,3.81728930637596,1
27095,"Minnesota","Mille Lacs County",14,"High Incidenc",26139,7.2,53.5598148360687,5,5.27,28.9422912068466,1
27097,"Minnesota","Morrison County",11,"High Incidenc",33169,6.6,33.1634960354548,5,5.1,20.1415323893457,0.999999999999996
27099,"Minnesota","Mower County",2,"High Incidenc",40011,6.5,4.99862537802104,5,6.34,2.13046836446635,0.999999999999994
27101,"Minnesota","Murray County",0,"High Incidenc",8276,6.6,0,5,5.8,0.502434351136521,1
