"HUC_12","PFOR90","PFOR"
"          NA",90.4764023,71.3774109
"          NA",92.9530716,87.6102753
"          NA",94.1786499,88.3268051
"          NA",90.1949997,77.7909775
"          NA",90.6220474,83.6928406
"          NA",88.2415924,71.4318466
"          NA",93.0192184,87.1026459
"          NA",95.7857208,87.3609619
"          NA",83.731636,73.8342819
"          NA",91.3084717,83.0712662
"          NA",85.9525452,58.5729179
"          NA",87.4258804,60.7300377
"          NA",94.6032562,67.3438492
"          NA",84.2363052,61.092083
"          NA",90.7482605,70.0102997
"          NA",88.787674,62.890667
"          NA",89.4543457,62.6894569
"          NA",89.5231171,67.6091614
"          NA",85.6895676,69.152771
"          NA",91.0289993,74.4184113
"          NA",89.7668457,76.1042099
"          NA",92.7377396,60.4241447
"          NA",89.8341522,56.8745956
"          NA",90.6980362,61.0732307
"          NA",94.3633423,88.6302109
"          NA",86.6303482,78.8000641
"          NA",87.1472321,79.0587006
"          NA",85.555275,78.7280426
"          NA",88.9852905,85.3083801
"          NA",93.0377731,66.8056183
"          NA",92.0136032,83.1407318
"          NA",90.8024826,83.5253906
"          NA",89.913208,69.8095016
"          NA",94.8034515,81.9781799
"          NA",90.2560501,70.1669464
"          NA",83.7184982,64.1144943
"          NA",90.2646484,64.3953018
"          NA",91.6076279,73.2658615
"          NA",93.6916809,69.250473
"          NA",97.4071045,85.6907196
"          NA",88.1506042,78.2073135
"          NA",70.3858261,53.502655
"          NA",93.6141357,69.7777634
"          NA",91.9584045,81.6752777
"          NA",94.2678223,71.2112503
"          NA",92.315834,73.0048981
"          NA",85.1742325,60.5951805
"          NA",69.2352448,49.3987045
"          NA",62.5221558,36.7720032
"          NA",40.0543327,26.9976788
"          NA",60.8749886,41.657299
"          NA",49.959774,29.0905018
"          NA",86.1103287,75.8666153
"          NA",87.9405899,69.9191437
"          NA",86.5879822,69.5072098
"          NA",89.9787674,65.103363
"          NA",82.3328247,50.1090927
"          NA",79.0857849,61.1779785
"          NA",46.3974533,27.4151745
"          NA",48.9408989,27.7601433
"          NA",50.3867607,25.564291
"          NA",51.1357956,27.1328373
"          NA",31.4898853,22.3685722
"          NA",92.3163986,55.1395187
"          NA",82.8191071,50.6087914
"          NA",89.78508,71.6605606
"          NA",59.6092072,28.6487904
"          NA",83.5637817,67.5824585
"          NA",92.4434509,81.0835648
"          NA",81.5191498,66.9358749
"          NA",67.0050735,40.7580528
"          NA",77.7125473,49.1842117
"          NA",78.9890747,58.5345268
"          NA",65.4144211,41.2123375
"          NA",53.7129631,31.2878666
"          NA",59.2629356,20.4500351
"          NA",89.1848984,80.3281174
"          NA",87.4391861,79.2463531
"          NA",79.1393356,66.8008423
"          NA",86.3685226,77.928421
"          NA",92.729538,84.5508957
"          NA",88.0272293,82.9998627
"          NA",92.1958008,83.1636734
"          NA",84.1612396,73.1899948
"          NA",94.574501,81.6413956
"          NA",92.8441772,85.627121
"          NA",93.6324234,88.8846207
"          NA",93.1367645,66.5693893
"          NA",91.9706268,86.1537018
"          NA",93.812439,79.5827179
"          NA",93.1391907,84.5274429
"          NA",91.1297989,85.5517731
"          NA",93.3483124,79.2733459
"          NA",80.3018494,64.1732025
"          NA",86.6101685,61.7796593
"          NA",98.4615402,69.3706284
"          NA",93.2983856,52.1046028
"          NA",93.294487,76.7578735
"          NA",92.0766525,83.5389557
"          NA",89.2028427,64.4455643
"          NA",91.2118912,73.7975845
"          NA",87.536026,87.4279556
"          NA",90.839592,83.7997742
"          NA",86.0906754,70.9128342
"          NA",89.8477707,68.684906
"          NA",89.7778091,79.7336578
"          NA",93.9881592,87.6401825
"          NA",92.4317322,86.122879
"          NA",87.8446579,77.2587433
"          NA",89.0173264,85.0347824
"          NA",92.1490784,84.7499237
"          NA",84.8896866,78.8317947
"          NA",87.5829086,81.3011551
"          NA",88.2333221,70.3475189
"          NA",92.9689713,88.4306412
"          NA",89.0721817,81.1960602
"          NA",94.2910461,90.4308624
"          NA",94.0432129,91.7919388
"          NA",94.7624817,94.0316696
"          NA",85.4259415,78.9208984
"          NA",86.1265411,76.7477646
"          NA",83.6679077,76.8629913
"          NA",87.9724655,82.1789169
"          NA",87.6761322,85.3640823
"          NA",64.9748383,63.038723
"          NA",83.0255814,67.9238358
"          NA",88.1852188,83.4489059
"          NA",84.6100311,80.9828949
"          NA",79.5513763,76.7713852
"          NA",83.060257,78.0587997
"          NA",87.6906433,81.0752258
"          NA",73.8763046,69.5590439
"          NA",87.3981094,83.313591
"          NA",87.3495483,85.4662018
"          NA",90.5598221,86.1449814
"          NA",92.5583649,90.5293121
"          NA",73.3724442,69.9828873
"          NA",72.8440247,66.9673767
"          NA",73.4406052,63.2111206
"          NA",78.3862228,68.536026
"          NA",78.8970947,73.3773499
"          NA",93.4561005,87.575119
"          NA",91.4232788,90.0631485
"          NA",87.0112152,81.8571243
"          NA",74.9423141,68.6786652
"          NA",65.4671631,62.1445503
"          NA",62.2070541,56.357235
"          NA",67.3940811,58.7590218
"          NA",84.6059952,68.9608612
"          NA",59.0680313,43.599762
"          NA",74.7001114,53.0258675
"          NA",69.6198273,49.5859795
"          NA",72.9571075,51.5634079
"          NA",62.9536171,48.272049
"          NA",60.335125,48.6099434
"          NA",36.9281273,16.6316109
"          NA",64.5879135,48.7020531
"          NA",51.9381561,34.7604637
"          NA",75.049675,55.8870201
"          NA",74.5686569,42.7234154
"          NA",48.8721199,30.2456722
"          NA",67.6192245,46.0257378
"          NA",80.9187546,43.4701233
"          NA",76.9803314,65.8694305
"          NA",81.6159897,71.2615356
"          NA",92.7692642,86.0427628
"          NA",87.50634,78.9302673
"          NA",88.9229431,83.0003128
"          NA",84.6096573,77.4123535
"          NA",93.7072449,86.7719803
"          NA",93.7933273,85.4327621
"          NA",91.3413315,83.3354721
"          NA",91.0963058,80.6857376
"          NA",92.4684143,85.8427048
"          NA",91.2625732,82.8434753
"          NA",85.4532776,79.7296143
"          NA",90.3142624,82.5033569
"          NA",94.8683014,87.5428619
"          NA",88.6721115,82.5200424
"          NA",89.8372803,78.8331375
"          NA",89.1114273,80.2712402
"          NA",95.9949112,91.81884
"          NA",92.1392746,86.1775436
"          NA",89.8970413,76.4581909
"          NA",92.0425034,76.5914993
"          NA",86.3709412,73.9002991
"          NA",88.776329,73.7126389
"          NA",86.0986252,74.4234695
"          NA",81.5367661,68.4774094
"          NA",88.7796402,78.1236954
"          NA",87.7533035,80.0059814
"          NA",86.4271545,74.9034805
"          NA",82.6240082,69.2775192
"          NA",87.9577713,75.5897369
"          NA",95.1871796,80.6213684
"          NA",88.1182861,80.176857
"          NA",93.5634918,81.012558
"          NA",86.2401352,80.9168549
"          NA",91.1910172,77.2835617
"          NA",87.5119553,80.4144516
"          NA",88.1988678,80.4009018
"          NA",97.2586823,92.9447861
"          NA",98.3545532,95.6887436
"          NA",94.6724243,86.6953354
"          NA",97.1099167,92.1613464
"          NA",97.167511,92.9295349
"          NA",87.3365097,78.2328491
"          NA",90.6015778,84.9469986
"          NA",93.9735794,87.0005112
"          NA",93.1006775,85.5492325
"          NA",89.4240112,70.6913223
"          NA",94.3067703,90.035141
"          NA",91.1681824,87.9585266
"          NA",97.5721588,95.3172836
"          NA",90.7210007,80.8808441
"          NA",85.151207,68.6088181
"          NA",90.3602829,64.7185669
"          NA",91.8342667,58.8313599
"          NA",97.9449005,87.811142
"          NA",92.7116318,81.1511459
"          NA",94.5564346,77.193573
"          NA",90.328392,66.4883957
"          NA",80.0706406,59.2941132
"          NA",89.9932175,56.739357
"          NA",85.6694641,67.4079895
"          NA",83.0188217,77.5223465
"          NA",91.6066208,81.864212
"          NA",83.2985382,60.8515396
"          NA",80.6354904,67.6173325
"          NA",89.5075226,78.3062744
"          NA",86.5570374,76.1284027
"          NA",92.3864517,84.1957932
"          NA",95.3072968,87.8071671
"          NA",90.4731598,79.8791656
"          NA",95.9405441,86.8723297
"          NA",95.9578247,94.5952988
"          NA",98.169281,89.9144516
"          NA",95.2867126,85.4507065
"          NA",91.7340546,70.8497467
"          NA",94.2855453,83.2663116
"          NA",98.0041275,91.956398
"          NA",95.829071,86.4386597
"          NA",90.8471985,66.9055252
"          NA",91.0657043,69.1016464
"          NA",92.1047821,74.0225525
"          NA",91.2248154,65.2152481
"          NA",93.1399765,71.7871552
"          NA",92.267067,70.8612213
"          NA",89.4372635,78.9567795
"          NA",93.3273239,79.7813034
"          NA",97.4417419,91.4817886
"          NA",97.1039505,90.4987869
"          NA",89.1675415,70.4682083
"          NA",91.2818069,78.3576126
"          NA",94.0203629,70.8421478
"          NA",93.7070236,68.3957443
"          NA",91.7215424,71.8471527
"          NA",89.0492249,80.0492249
"          NA",90.2131577,80.5427399
"          NA",89.9486542,71.5687637
"          NA",92.740654,76.6848221
"          NA",91.0361481,75.8932495
"          NA",84.6959839,54.6459694
"          NA",82.5641022,57.8307076
"          NA",90.3734512,61.1999512
"          NA",92.4619293,75.92379
"          NA",86.9793701,66.5121002
"          NA",86.7906265,67.8448334
"          NA",96.0241241,63.7996101
"          NA",93.8780975,71.0204315
"          NA",90.4603424,74.6185379
